the extracted feature,class
"[-194.63135     160.21007     -51.543182    -11.899847     -1.2198333
   -2.490739    -40.762787     -4.8982377   -12.929698      0.7965849
   -1.9849372    -7.5988407    -1.7950923     5.1341424     3.395888
    5.5228477     5.244718      4.1360245    -2.7378259    -5.696944
   -4.8567185    -4.585982     -1.8171687    -6.777813      3.9674542
    1.5432245     0.98810756    6.9978056     3.3778753    -1.4337604
    1.6422119     7.6716704    -3.0835805    -1.6489235    -1.2318594
   -1.7729597     0.3789113     0.8306508    -3.4636948     5.2640977 ]",malkauns
"[-2.0861931e+02  1.5945213e+02 -5.5050854e+01  1.0557649e+01
  2.0295687e+00 -1.8071530e+00 -3.8501114e+01 -7.7912726e+00
 -1.2140106e+01 -1.0881661e+00 -1.5156633e+00 -6.6975570e+00
  2.8413739e+00  7.4123535e+00  1.6082616e+00  8.7749376e+00
  4.0702667e+00  1.5912973e+00 -2.8441789e+00 -6.2289619e+00
 -5.8882432e+00 -1.3411992e+00 -1.1189429e+00 -7.5845914e+00
  1.8500471e+00 -1.3558942e+00 -2.1317556e+00  6.0710444e+00
  3.8231509e+00 -5.5969710e+00 -6.3016251e-02  6.9979134e+00
 -1.8759059e+00 -2.2679632e+00 -1.4829353e+00 -4.1882849e+00
 -1.7235342e+00  3.4305072e-01 -2.1299105e+00  6.7539902e+00]",malkauns
"[-2.0117943e+02  1.7171043e+02 -4.7213718e+01 -3.4382515e+01
 -8.9485092e+00 -7.1570182e+00 -1.8716866e+01 -9.0584164e+00
 -1.5654265e+01  2.4424767e+00  4.9415941e+00 -6.6949334e+00
 -2.1132736e+00  4.3177519e+00  5.3025765e+00  1.8164632e+00
  6.8663425e+00  7.6201591e+00 -6.1825074e-02 -2.3576710e+00
 -1.1070043e+00  2.1795621e+00 -3.5883734e+00 -4.6806102e+00
  2.7872872e+00  3.8129971e+00  6.0206723e-01  3.6065905e+00
  1.0115241e+00 -4.6742477e+00  1.9538152e+00  7.0387712e+00
 -3.8195467e+00 -1.7884153e+00 -2.8211551e+00 -4.4561014e+00
 -3.6611176e+00 -4.2622939e-01 -2.0200312e+00  2.3966990e+00]",malkauns
"[-198.31741     159.40636     -48.925526    -10.733458     -5.6110926
   -6.3914294   -37.136917     -3.7226534   -15.357223      1.785251
   -1.5656005    -7.0110016    -0.45094225    8.984899      4.830467
    7.2914143     6.449631      4.3930874    -2.7749834    -5.430263
   -7.0456967    -4.726936      2.2697825    -2.067911      8.601793
    3.8553813    -1.6607491     4.9320083     0.7120505    -1.2949182
    1.4684364     4.724831     -5.291095      1.0247782    -0.6420728
   -3.6307585    -3.2789717    -2.5814948    -1.6574781     7.9927597 ]",malkauns
"[-197.2315      163.41562     -58.847492     -6.287669    -12.214494
    1.8587089   -30.13307      -8.253077    -10.089279      1.2945262
    3.0740664   -10.684876      0.85511917    4.864822      2.6068945
   11.153135      9.210659      0.78086734   -6.4807243    -4.4488335
   -3.3089519    -1.7424048     1.6797237    -5.592563      3.571015
    3.51496      -1.7713479     4.2613926     2.672045     -3.6454532
    2.0720165     7.486668     -3.2968354    -2.8776126     0.26297542
   -4.2658987    -0.5436293    -2.6016798    -5.683961      3.0598059 ]",malkauns
"[-2.0803044e+02  1.6964384e+02 -5.8760612e+01 -3.5265069e+00
 -1.0184530e+01  3.8404856e+00 -3.1362921e+01 -1.0511997e+01
 -1.2138275e+01 -2.9672532e+00  1.6658128e+00 -1.0147993e+01
  1.2015933e+00  5.6906285e+00  3.8254578e+00  6.3860769e+00
  7.0774536e+00  2.7227268e+00 -5.4460454e+00 -4.2959361e+00
 -7.5223827e+00 -3.6952233e+00  3.9613757e-01 -7.3382826e+00
  4.9672556e+00  2.3042667e+00 -6.0685515e-01  7.7630210e+00
  6.1308894e+00 -2.5945394e+00  1.4352497e+00  7.3397574e+00
 -2.3863449e+00  8.0561435e-01  1.4689766e+00 -3.9283233e+00
  7.3415875e-02  2.5916126e-01 -2.0149832e+00  5.6341968e+00]",malkauns
"[-2.02485718e+02  1.64680267e+02 -4.22164078e+01 -1.28701315e+01
  4.28328663e-01 -7.88716412e+00 -3.40374031e+01 -3.17637348e+00
 -1.14251556e+01 -8.63005340e-01 -1.96831417e+00 -3.30601382e+00
 -1.93097496e+00  7.19634247e+00  3.93973017e+00  7.37920094e+00
  1.49539387e+00  6.24229622e+00 -4.59037209e+00 -2.76455164e+00
 -5.46343803e+00 -3.64142871e+00 -6.79309511e+00 -9.86149693e+00
 -1.00428853e-02 -3.12864518e+00 -2.05927587e+00  8.04738522e+00
  4.81681061e+00 -3.70394182e+00  4.26159911e-02  3.63442349e+00
 -9.52018023e-01  1.16508234e+00 -1.74347132e-01 -2.76468349e+00
  1.07582462e+00  2.01874948e+00  1.26493645e+00  7.39483213e+00]",malkauns
"[-2.1867024e+02  1.8366100e+02 -5.4132641e+01 -2.0652525e+01
  2.0401304e+00 -1.5104141e+01 -2.5106695e+01 -6.6802564e+00
 -1.5988611e+01 -2.1808226e+00  2.5451487e-01 -8.4861536e+00
  2.5817559e+00  7.4527793e+00  5.3302140e+00  3.9238730e-01
  5.7580333e+00  3.5149212e+00 -3.5416157e+00 -5.1640024e+00
 -5.6610212e+00  2.0641553e+00 -1.8662333e+00 -5.1019454e+00
  4.3797317e+00  5.5853826e-01  2.1592050e+00  6.2920012e+00
  1.9737102e+00 -5.3734021e+00  2.9772644e+00  9.3438931e+00
 -5.0313411e+00 -7.8942232e-02 -2.7731667e+00 -4.3862572e+00
 -5.7554597e-01 -1.6563236e+00 -1.4426184e+00  6.5330896e+00]",malkauns
"[-182.29767     153.92319     -47.493847    -16.050417    -12.506414
    0.87666607  -33.541973     -6.3025293   -13.932686     -1.8150544
   -2.5026176    -7.5748224    -0.31405964    5.1750793     5.0433946
    4.8796654     2.738411      2.4563527    -4.5419383    -3.5791483
   -1.2729744    -1.1960818     0.85785717   -5.680332      1.3073884
    0.22249906   -1.5576092     5.0465546     1.190016     -2.8053162
    3.591232      8.174592     -2.9420984    -1.1108054    -1.2516234
   -3.2761407    -2.4304125    -1.258926     -1.8792263     7.360575  ]",malkauns
"[-1.9757214e+02  1.5256195e+02 -4.3705536e+01  2.8742545e+00
  2.2673814e+00 -8.9173275e-01 -3.6943977e+01 -4.8230181e+00
 -1.2522430e+01 -6.1114845e+00 -7.0845575e+00 -2.9697607e+00
  2.9810627e+00  8.3731861e+00  4.1998177e+00  6.7200880e+00
 -1.8847466e+00  1.5158745e+00 -2.7524629e+00 -8.0293379e+00
 -5.1780968e+00 -2.9364857e-01 -2.3749483e+00 -8.9372015e+00
  1.1485904e+00 -4.4392185e+00 -4.1304002e+00  5.6464338e+00
  3.4854707e-01 -5.7883854e+00  3.0408996e-01  4.9000678e+00
 -4.3916494e-02 -2.4805729e-01 -2.7246389e+00 -4.9237390e+00
 -2.4344890e+00  3.6334553e-01  1.2435739e+00  9.1731987e+00]",malkauns
"[-182.81725     159.84029     -49.71219     -11.944578     -9.158969
    0.700823    -31.241774     -2.3846939   -10.399241     -6.9923
   -4.6664915    -3.0185592     0.32060033    3.187249      2.2645175
    6.3397365     0.42647886    2.5044656    -4.8569946    -7.373834
   -4.0604634    -0.94242436   -3.7548923    -9.015907     -0.27664638
   -3.2059572    -5.590104      3.6966774     1.7624949    -5.199861
   -0.8754234     4.4315777    -1.1294203    -0.41058233   -0.89967203
   -4.071971     -2.6115386     1.1839744     1.0233049     6.7590365 ]",malkauns
"[-1.8861928e+02  1.5619530e+02 -4.8859898e+01 -1.2700030e+01
 -1.1462039e+01  2.1656237e+00 -3.6614517e+01 -3.8872464e+00
 -1.1854402e+01 -2.4639351e+00 -1.9213233e+00 -7.9798026e+00
 -1.7592632e+00  7.1393085e+00  4.3949933e+00  4.5294509e+00
  5.5147171e+00  3.8767045e+00 -4.8995185e+00 -6.5411983e+00
 -4.0041842e+00 -3.7778847e+00  1.3964865e+00 -6.0111833e+00
  3.0237303e+00  1.9786839e+00  1.0394455e+00  6.6905203e+00
  3.1830182e+00 -7.4837762e-01  1.2547206e+00  6.8378987e+00
 -5.1261249e+00  4.8080280e-01  1.6973233e-01 -2.6467404e+00
 -1.3872753e+00 -2.2217054e+00 -3.0687907e+00  6.2942748e+00]",malkauns
"[-1.9702507e+02  1.5536835e+02 -4.3288174e+01 -4.9017210e+00
 -1.8417312e+00  2.9426379e-02 -3.9558411e+01 -2.9698052e+00
 -1.4294938e+01 -4.1185718e+00 -6.8300552e+00 -3.9441507e+00
  3.5206479e-01  8.4642210e+00  2.8506544e+00  3.2071035e+00
  1.4465261e-02  8.1407911e-01 -2.0344815e+00 -6.9125333e+00
 -5.6787372e+00 -3.1192622e+00 -1.6643517e+00 -9.0691357e+00
  1.4724668e+00  6.9133234e-01 -2.1813338e+00  7.7835026e+00
  3.1638429e+00 -3.5769496e+00  2.2143779e+00  6.1043663e+00
 -1.4924600e+00  2.4534957e+00 -6.7152059e-01 -6.2971425e+00
 -2.7227457e+00  1.0190082e+00  5.4868621e-01  9.5597582e+00]",malkauns
"[-194.52548     170.7819      -50.509987    -15.854758    -15.217558
    1.0301018   -26.093216     -3.683312    -14.967728     -6.152864
    0.8492816    -5.1149297     0.84885424    2.9185274     1.5813205
    6.6153603     1.4717942     4.048564     -5.958556     -5.1094046
   -5.865827     -2.6145184    -4.8546658   -10.424981     -0.707871
   -2.456823     -3.5776758     6.677701      3.5723677    -2.461361
    2.7421694     6.3724794    -1.6131411     3.1897042     4.1741858
    1.2145813     3.0998142     2.0176616    -2.2102554     4.8152122 ]",malkauns
"[-238.61504     163.18935     -41.204178    -10.4582      -13.632187
    6.6205964   -29.847403     -4.287176     -7.186813     -6.4822836
    2.042427     -2.0259197    10.280314      7.4979863     2.8887472
    2.2024574    10.189435      5.6636786     0.53246194   -3.5782707
   -0.48145145    1.7305139    -4.970058    -11.314834     -6.63723
   -0.83826196   -6.446717      7.592788      0.29637787   -6.44594
   -2.8662846    10.161303     -5.897403     -3.2146313    -5.7611027
   -5.413664     -3.6743836     1.0569978    -3.699173     11.013902  ]",malkauns
"[-226.42815    164.27434    -44.625103   -15.768754   -13.599838
    5.3098993  -32.25033     -6.2127786   -9.263634    -6.4790225
    1.6738842   -1.2640027    4.7997403    7.0416656    1.8437548
    2.817475     4.742511     6.6822786   -1.7871115   -3.845345
   -2.6622326   -2.371487    -7.417543   -10.244675    -5.0283046
   -1.030012    -5.460506     7.9740133    4.011585    -8.016637
   -1.0487758    7.9595537   -1.5056356    3.1903918    5.4938936
    6.6745086    6.7092214    7.4145484   -2.0283802   10.10396  ]",malkauns
"[-1.9174474e+02  1.5466110e+02 -5.0022648e+01 -7.4842014e+00
 -1.0439335e+01  5.9884053e-01 -3.4820965e+01 -4.8178563e+00
 -1.6509829e+01 -3.0937014e+00 -2.7476113e+00 -5.8707447e+00
  5.1458985e-01  9.6663370e+00  5.3800116e+00  5.2070074e+00
  5.4252453e+00  2.7552941e+00 -5.1044264e+00 -6.4041767e+00
 -4.5804029e+00 -2.2848082e+00  2.0600836e+00 -4.3226781e+00
  4.5884380e+00  3.0256610e+00 -2.1958458e+00  2.4463112e+00
  1.4842537e-01 -3.9017739e+00  4.0986259e-02  6.5565057e+00
 -3.2956617e+00  2.1251443e-01 -6.0610026e-01 -4.1750817e+00
 -3.1171138e+00 -2.9754403e+00 -2.3602254e+00  7.1146045e+00]",malkauns
"[-1.77806412e+02  1.61479828e+02 -4.99843292e+01 -1.53648205e+01
 -5.73957109e+00 -8.66996571e-02 -2.97933578e+01 -1.57796800e+00
 -1.21900682e+01 -5.68933010e+00 -2.16431022e+00 -2.88595057e+00
  3.52145284e-01  5.48215103e+00  2.87963581e+00  4.75824451e+00
  7.97048211e-01  2.52924418e+00 -4.75300026e+00 -7.09126377e+00
 -3.71187782e+00 -1.74463952e+00 -4.55029869e+00 -7.94879436e+00
 -4.74610567e-01 -3.08015990e+00 -5.90384960e+00  5.31512451e+00
  1.21239161e+00 -4.56477976e+00 -1.06119990e+00  2.84416866e+00
 -1.12181139e+00  1.48449332e-01 -1.35306430e+00 -4.86810732e+00
 -2.90628266e+00  1.42444134e+00  6.29942417e-01  6.32618666e+00]",malkauns
"[-2.1575270e+02  1.6453702e+02 -5.0742279e+01 -1.9106937e+01
 -3.2764843e+00 -5.2533388e+00 -2.9959801e+01 -1.1237819e+01
 -7.3912888e+00 -4.4363756e+00  6.1963910e-01 -8.3384526e-01
  3.8137801e+00  9.4073114e+00  3.5262433e-01  9.6937933e+00
  5.3058261e-01  1.3452979e+01 -2.2358484e+00 -4.6393495e+00
 -7.0029325e+00  2.3032231e+00 -8.8964825e+00 -1.0226517e+01
 -4.4611650e+00 -1.3300571e+00 -2.1747918e+00  1.0029120e+01
  8.1794351e-01 -8.6308908e+00 -2.1821599e+00  7.1478982e+00
 -2.6571698e+00  2.6818416e+00  1.9377430e-01  1.8115300e+00
  3.5217571e+00  5.5592246e+00 -2.1069376e+00  4.2638364e+00]",malkauns
"[-1.8957091e+02  1.4825674e+02 -4.7550133e+01  2.6527429e+00
  5.2473086e-01 -4.6058254e+00 -3.8524071e+01 -2.8789985e-01
 -1.3371322e+01 -6.2390156e+00 -8.2823353e+00 -5.9411535e+00
  3.2130039e+00  8.3484163e+00  3.0684111e+00  4.9396448e+00
 -6.5232933e-01  1.8786596e+00 -4.8431721e+00 -6.3078408e+00
 -5.2328763e+00  3.8543513e-01 -2.3031001e+00 -6.9997053e+00
  2.2660019e+00 -2.2586839e+00 -4.7038898e+00  4.4446135e+00
  8.0871290e-01 -5.5155296e+00  6.4931887e-01  6.5501733e+00
 -1.6464102e+00  4.1211668e-01 -2.6484239e+00 -4.3055978e+00
 -2.0225983e+00  1.8733151e-01 -3.7698981e-01  9.1236849e+00]",malkauns
"[-2.2093405e+02  1.5565492e+02 -4.4295715e+01 -6.8812567e-01
 -9.9178410e+00  4.8571649e+00 -3.6598228e+01 -2.7666556e-02
 -1.0498196e+01 -2.7964456e+00 -1.8523097e+00 -1.2948313e+00
  6.0368161e+00  1.0748958e+01  5.6985825e-01  6.7455268e+00
  1.9025216e+00  5.6559749e+00 -1.4459128e+00 -1.2236158e+00
 -4.0643578e+00  1.5289319e+00 -5.2142911e+00 -9.1778717e+00
 -5.2675271e+00 -3.2859516e+00 -3.9243674e+00  7.5471172e+00
  4.6106514e-01 -6.7339368e+00 -2.2898295e+00  6.0908303e+00
 -2.9177303e+00 -3.3891203e+00 -2.9208293e+00 -4.7602062e+00
 -2.2289391e+00  5.3199637e-01 -1.5355156e-01  7.1174521e+00]",malkauns
"[-2.28254562e+02  1.63663269e+02 -5.02595177e+01 -1.41054735e+01
 -3.42190099e+00 -2.22373676e+00 -3.21049500e+01 -6.85306454e+00
 -8.20316887e+00 -3.12372661e+00  2.47320056e+00  3.30318642e+00
  4.45194817e+00  1.09265614e+01 -9.76525903e-01  8.93319798e+00
  2.99261570e+00  1.17226858e+01  7.97656551e-02 -1.71300662e+00
 -3.68115592e+00  3.54039621e+00 -6.56312132e+00 -1.09354763e+01
 -4.70968056e+00 -7.30305612e-01 -3.14688683e+00  9.28991032e+00
  1.84616637e+00 -7.06775761e+00 -4.45787621e+00  7.31869745e+00
 -4.21219110e+00 -2.72953582e+00 -4.38943672e+00 -6.46567535e+00
 -1.88864148e+00 -9.29933608e-01 -3.32303238e+00  2.98616934e+00]",malkauns
"[-2.0707997e+02  1.5922946e+02 -4.6091404e+01  2.6230044e+00
 -1.7796625e+00  6.2996709e-01 -3.3896385e+01 -4.4979620e+00
 -1.1690555e+01 -6.4446182e+00 -4.1736584e+00 -4.5797968e+00
  6.7627082e+00  8.1054678e+00  3.6497505e+00  7.5616231e+00
  1.5731083e+00  2.4952359e+00 -5.3368840e+00 -3.9342985e+00
 -6.2950625e+00  4.0698960e-02 -5.3901453e+00 -8.3911247e+00
 -8.5671270e-01 -3.1200826e+00 -6.8794909e+00  4.3194208e+00
 -9.8668963e-02 -8.1205854e+00 -9.6954447e-01  4.9529119e+00
 -5.9912610e-01 -3.4375951e+00 -3.5986640e+00 -7.9987497e+00
 -4.7710853e+00 -5.7804540e-02 -2.1952860e-01  8.0705471e+00]",malkauns
"[-211.007       163.49048     -52.043106    -19.4925       -5.664418
   -4.950882    -27.880754     -9.572421     -6.0200067    -5.0600123
    1.9839196    -3.7342224     3.818597      4.819219      3.1085663
    9.276238      3.2652001    11.041126     -2.1837056    -4.3521557
   -5.929821      1.6872734    -6.815453    -11.929128     -4.182959
   -3.8768563    -0.24339595    9.161568      4.3087554    -4.24943
    1.3034512     7.4876523    -2.5941565     0.24392806    0.24787553
    0.7260697     2.0374482     1.8439168    -3.1099994     3.868505  ]",malkauns
"[-2.0376573e+02  1.5890747e+02 -5.0977425e+01 -9.5280447e+00
 -4.6662345e+00 -3.9439049e+00 -3.2671101e+01 -6.8176160e+00
 -9.2827253e+00 -1.7896272e+00  3.2418433e-01 -3.6091273e+00
  3.4540048e+00  6.7377229e+00  3.5229979e+00  7.0804853e+00
  4.7127237e+00  8.8412056e+00  5.1969312e-02 -1.9142137e+00
 -4.7418232e+00 -1.5226260e+00 -5.2641449e+00 -1.1424382e+01
 -2.1231871e+00 -3.9452941e+00  5.0060022e-01  9.8128967e+00
  4.5956049e+00 -6.4141960e+00 -1.2958760e+00  6.0041947e+00
 -8.0082858e-01  2.8107888e-01 -6.4448565e-01 -3.3035915e+00
  3.2406978e-02  3.0451655e+00 -3.5089606e-01  6.6621976e+00]",malkauns
"[-2.0115073e+02  1.6683455e+02 -4.9179501e+01 -2.1430585e+00
 -8.6845570e+00  5.0853926e-01 -3.1308064e+01 -6.1012816e+00
 -1.5185064e+01 -6.1971397e+00 -4.0942922e-01 -2.6210728e+00
  4.3521643e+00  8.0042362e+00  7.4008822e-01  7.8084931e+00
 -2.5266695e-01  3.5347559e+00 -5.6202116e+00 -2.5530658e+00
 -4.2157001e+00 -3.7146036e-02 -5.3630729e+00 -9.4558372e+00
 -5.5712646e-01 -3.9463303e+00 -5.7824974e+00  3.5174377e+00
 -2.0423086e-01 -6.6316786e+00 -6.1853570e-01  4.2302618e+00
 -1.5191072e-01 -3.1557548e-01 -2.8405907e+00 -6.1275458e+00
 -2.0456359e+00  2.6083097e+00  3.6143138e+00  9.6908321e+00]",malkauns
"[-202.0814      157.93471     -37.09836     -15.5816765    -2.1239932
   -3.3779793   -32.893982     -2.2155585   -14.054351     -2.4984202
   -4.1987767    -7.576087      2.9797924     8.96658       5.104248
    3.8481307     2.4676344     2.5113435    -5.6718144    -1.6770431
   -4.2034698    -2.5127463    -4.0033045    -4.8640637     6.411337
    5.5593        1.4652233     5.1792455     2.0550983    -2.9243348
    3.978992      7.274303     -1.566898     -1.2733393    -0.9354841
   -2.086969     -0.84078014   -1.2083474    -4.486606      6.2202635 ]",malkauns
"[-2.0952968e+02  1.6583047e+02 -3.5492901e+01 -8.6583462e+00
  6.4352126e+00 -7.8047423e+00 -2.6548540e+01 -3.5412700e+00
 -1.3573602e+01 -4.0674028e+00 -5.3043313e+00 -2.5081301e+00
  6.1376047e+00  8.1106262e+00  3.8914905e+00  8.4953899e+00
 -2.5631974e+00  4.4483495e+00 -5.5953593e+00 -2.5557818e+00
 -5.2504020e+00  1.7598036e-01 -8.0008669e+00 -9.4797983e+00
  4.7372797e-01 -3.1235697e+00 -4.9451184e+00  2.8457584e+00
  2.0913243e-01 -7.2104015e+00 -1.0805733e+00  6.3735895e+00
 -1.3028692e+00 -2.2845104e+00 -2.3993161e+00 -2.2998073e+00
  1.4643265e-01  2.1842012e+00 -4.4808814e-01  9.3344507e+00]",malkauns
"[-1.9731685e+02  1.5944072e+02 -4.3812172e+01 -2.0408821e+01
 -1.2670120e+01  2.6320143e+00 -2.9041626e+01 -3.6107731e+00
 -1.1599831e+01 -8.4364635e-01 -2.7649996e+00 -7.4353657e+00
 -8.9086759e-01  8.4730282e+00  6.1816397e+00  6.8153877e+00
  6.5923791e+00  1.4350984e+00 -5.5076127e+00 -1.8950913e+00
 -2.7848847e+00 -2.2173679e+00 -9.1337729e-01 -2.3825581e+00
  6.2344198e+00  4.9777036e+00  1.2717475e+00  3.7542865e+00
  3.5410898e+00  1.6137256e-01  5.9965844e+00  6.6833897e+00
 -3.2441003e+00 -2.0585828e+00 -1.2316719e+00 -2.3516426e+00
 -8.3472884e-01 -3.1662867e+00 -4.3239803e+00  4.8465781e+00]",malkauns
"[-204.0156      161.10593     -45.0481       -2.2149415     5.5383897
   -7.543085    -34.3226       -8.1957035   -10.430517      1.6015934
   -4.6785483    -1.84079       2.3197744     6.660471      4.774801
    8.626825      1.7196243     5.769621     -2.9333372    -8.0271845
   -4.7690253    -0.60987145   -8.32514      -9.809434      1.4447453
   -6.8020873    -0.892303      4.261682     -0.5987808    -8.787515
   -3.640641      4.568657     -0.6838235    -1.6445462    -0.91630435
   -1.6091815     2.5782592     3.1722019     2.7603886     6.826281  ]",malkauns
"[-1.9770534e+02  1.5561768e+02 -4.9017284e+01  4.2052776e-01
  7.2644277e+00 -6.6516194e+00 -3.9246510e+01 -5.7063131e+00
 -1.0254706e+01 -2.7743402e+00 -3.8541632e+00 -5.3900127e+00
  9.2181861e-01  8.4578199e+00  3.9539316e+00  7.7299008e+00
  2.3837879e+00  4.2016931e+00 -5.0101056e+00 -6.3363328e+00
 -5.8473330e+00 -2.7140054e-01 -1.7853394e+00 -7.9580975e+00
  3.6494997e+00 -3.1850584e+00 -1.8827802e-01  5.3118153e+00
  7.9540592e-01 -5.7979717e+00 -5.3584111e-01  7.5086660e+00
 -1.1927458e+00 -2.5382175e+00 -3.0664592e+00 -5.0227413e+00
 -2.3961540e-01  3.1030114e+00 -1.1096529e+00  8.4654064e+00]",malkauns
"[-2.0540361e+02  1.6295628e+02 -4.1360512e+01 -1.6771896e+01
 -8.8191395e+00 -1.2024673e+00 -3.0206427e+01 -3.4813416e+00
 -1.1867772e+01 -2.7043757e+00 -2.5343552e-01 -7.6292658e+00
  1.3030481e-01  7.0165825e+00  5.2324319e+00  6.8902879e+00
  2.8451345e+00  9.4074655e-01 -6.1813111e+00 -8.0458438e-01
 -2.4512475e+00 -3.5990052e+00 -3.8411942e+00 -4.5452352e+00
  5.3446441e+00  5.3451285e+00  5.5511051e-01  3.3156109e+00
  2.0449996e+00 -2.4595218e+00  4.2466927e+00  6.1451464e+00
 -4.6159697e+00 -6.9027066e-01 -9.3254244e-01 -3.6667888e+00
 -1.5498571e+00 -8.0044150e-01 -4.3249145e+00  5.9359756e+00]",malkauns
"[-1.7934865e+02  1.4716785e+02 -4.7706089e+01 -2.1459293e+01
 -1.4580228e+01  1.6825838e+00 -3.4374512e+01 -6.4673576e+00
 -1.4202443e+01  1.3856478e+00 -5.1697416e+00 -6.8892989e+00
 -1.8956678e+00  5.3605719e+00  8.6995363e+00  5.4552460e+00
  4.6688619e+00  3.7726934e+00 -2.7342157e+00 -7.3360336e-01
  1.8607200e+00 -5.5115919e+00  1.1286074e+00 -2.0766153e+00
  3.7946947e+00  2.2684684e+00 -2.9340775e-03  5.2997718e+00
  1.4882307e+00  9.3195528e-01  2.7633302e+00  6.1064296e+00
 -3.9723413e+00 -1.0877151e+00 -1.6500902e+00 -2.0425689e+00
 -2.7991176e+00 -3.7046154e+00 -4.3875041e+00  6.0386672e+00]",malkauns
"[-1.8960249e+02  1.7313214e+02 -4.8114479e+01 -2.1337532e+01
 -7.5039148e+00 -4.1499915e+00 -1.8734867e+01 -5.5941291e+00
 -8.9452124e+00 -5.2129412e+00  3.3778288e+00 -3.9538031e+00
  2.1943371e-01  3.9225161e+00  3.1634300e+00  7.5741730e+00
  5.8720672e-01  3.8064447e-01 -5.6388416e+00 -2.5229073e+00
 -2.2440429e+00 -1.8035032e-01 -7.6452127e+00 -7.4335761e+00
  1.8346509e-01 -2.8432720e+00 -4.6891403e+00  2.3153439e+00
  1.8243355e+00 -5.1279964e+00 -1.7201406e-01  4.0265217e+00
 -1.7139559e+00 -1.0899060e+00 -2.4511797e+00 -1.8739195e+00
 -5.0835353e-01  1.7036421e+00 -2.4412162e+00  4.8378987e+00]",malkauns
"[-2.0070955e+02  1.6727267e+02 -4.6774532e+01 -1.4858876e+01
 -3.4712124e+00 -7.1229930e+00 -2.6046299e+01 -1.4782395e+00
 -1.0880879e+01 -6.7309752e+00 -1.6191230e+00 -5.6294007e+00
  1.5421157e+00  3.7217519e+00  4.5444722e+00  7.3204985e+00
  1.6585401e+00 -7.6703322e-01 -3.5769057e+00 -3.9734538e+00
 -3.1973269e+00 -1.0374777e+00 -5.3522625e+00 -5.5450840e+00
  1.5199648e+00  1.8849298e-01 -2.7402024e+00  1.8202510e+00
  1.4094856e+00 -2.1696658e+00  1.9788941e+00  6.2784801e+00
 -2.4353340e+00 -8.4382612e-01 -9.2623216e-01 -2.0886142e+00
 -1.4552795e+00  1.1300759e+00 -1.9423923e+00  7.0762138e+00]",malkauns
"[-191.51646     154.92986     -45.079067    -11.264321     -7.5217195
    3.6639967   -38.283943     -1.6762779   -16.290945     -1.296428
   -4.0533667    -6.022502      0.39281794    6.7284794     5.2697835
    5.085762      4.668695      0.5291218    -4.852394     -5.803395
   -1.4502182    -3.4631376     2.0562305    -5.8277426     3.4468126
    4.2558017    -1.1608853     6.8343825     2.5386837    -1.7338089
    3.8661344     8.958034     -2.7931783    -0.6833398    -0.5279081
   -4.1842895    -3.0460413    -2.0881753    -3.9441433     6.89649   ]",malkauns
"[-2.5028214e+02  1.5856682e+02 -4.0655472e+01 -1.1664761e+01
 -1.1174857e+01  4.6370921e+00 -2.8948698e+01 -4.2166481e+00
 -8.7084856e+00 -4.4721575e+00  6.7934042e-01 -2.4789236e-01
  1.1353577e+01  7.8601069e+00  1.2912124e+00  3.5429630e+00
  1.0148809e+01  3.8112955e+00  2.2660909e+00 -3.1075919e+00
 -2.6242445e+00  2.4773552e+00 -3.0871253e+00 -1.1766358e+01
 -6.9897795e+00  8.2965076e-01 -5.6171002e+00  8.2263937e+00
 -7.2425497e-01 -5.1431308e+00 -3.2007971e+00  1.0252278e+01
 -5.7186742e+00 -4.5258756e+00 -5.3432279e+00 -5.9504676e+00
 -2.5072308e+00 -1.5926536e+00 -5.1692810e+00  6.8344603e+00]",malkauns
"[-208.30913     164.43228     -45.959732     -2.9675395     0.23928784
   -6.6763954   -30.654346     -5.4327145   -12.446508     -5.240855
   -3.5745955    -3.317221      4.980315      8.944637      2.6333103
    5.656708     -3.9707246    -1.0406975    -0.9945578    -3.8548687
   -5.570857      0.30628282   -7.0955677    -7.1990585    -0.813806
   -3.2006984    -4.822339      1.686963     -0.37687242   -5.466118
   -1.3437389     4.063075     -0.5911876     0.24290313   -1.9406852
   -2.1130445    -1.1209805     2.887962      2.270492      9.956734  ]",malkauns
"[-2.3935986e+02  1.7089436e+02 -5.3119308e+01 -8.8301039e+00
 -1.9072880e+01  4.6556166e-01 -2.2192440e+01 -3.3638826e-01
 -9.1877613e+00 -1.7063823e+00  3.2066753e+00 -1.8102200e+00
  1.2158067e+01  5.8027859e+00 -7.0776993e-01  2.5125787e+00
  5.1291142e+00  3.4540019e+00 -3.0358768e-01 -3.0261655e+00
 -1.4427372e+00  1.4400098e-01 -3.8750737e+00 -1.0758152e+01
 -2.9102039e+00 -1.3743186e+00 -4.8882608e+00  6.1804476e+00
  2.4147291e-02 -8.1242485e+00  9.8165643e-01  7.6275115e+00
 -6.4445400e+00 -6.6260376e+00 -4.3652163e+00 -3.0245914e+00
 -3.2992935e+00 -1.3796145e+00 -4.4638877e+00  4.3262539e+00]",malkauns
